id,title,abstract,soft_labels_l1,relevant_children_l1,reasoning_l1,soft_labels_l2,relevant_children_l2,reasoning_l2,soft_labels_l3,relevant_children_l3,reasoning_l3
4216,Human actions recognition from streamed Motion Capture,"This paper introduces a new method for streamed action recognition using Motion Capture (MoCap) data. First, the histograms of action poses, extracted from MoCap data, are computed according to Hausdorf distance. Then, using a dynamic programming algorithm and an incremental histogram computation, our proposed solution recognizes actions in real time from streams of poses. The comparison of histograms for recognition was achieved using Bhattacharyya distance. Furthermore, the learning phase has remained very efficient with respect to both time and complexity. We have shown the effectiveness of our solution by testing it on large datasets, obtained from animation databases. In particular, we were able to achieve excellent recognition rates that have outperformed the existing methods.","General and reference:0.0,Hardware:0.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.1,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.85,Applied computing:0.6,Social and professional topics:0.0",Computing methodologies,Computing methodologies: The paper presents algorithms for action recognition from MoCap data. Applied computing: Marginal relevance if applied to real-time systems. Other categories like 'Mathematics of computing' are less central as the focus is on algorithmic implementation.,"Artificial intelligence:0.2,Computer graphics:0.7,Concurrent computing methodologies:0.1,Distributed computing methodologies:0.1,Machine learning:0.6,Modeling and simulation:0.3,Parallel computing methodologies:0.1,Symbolic and algebraic manipulation:0.1","Computer graphics,Machine learning",Computer graphics is relevant as the method uses Motion Capture data for action recognition. Machine learning is central due to the real-time recognition algorithm. Modeling and simulation is secondary.,"Animation:0.5,Cross-validation:0.0,Graphics systems and interfaces:0.0,Image compression:0.0,Image manipulation:0.0,Learning paradigms:0.3,Learning settings:0.3,Machine learning algorithms:0.3,Machine learning approaches:1.0,Rendering:0.0,Shape modeling:0.0","Machine learning approaches,Animation",Machine learning approaches are central to the action recognition method. Animation is relevant due to MoCap data from animation databases. Other categories are less directly relevant.
1605,A parallel algorithm for compile-time scheduling of parallel programs on multiprocessors,"Proposes a parallel randomized algorithm, called PFAST (Parallel Fast Assignment using Search Technique), for scheduling parallel programs represented by directed acyclic graphs (DAGs) during compile-time. The PFAST algorithm has O(e) time complexity, where e is the number of edges in the DAG. This linear-time algorithm works by first generating an initial solution and then refining it using a parallel random search. Using a prototype computer-aided parallelization and scheduling tool called CASCH (Computer-Aided SCHeduling), the algorithm is found to outperform numerous previous algorithms while taking dramatically smaller execution times. The distinctive feature of this research is that, instead of simulations, our proposed algorithm is evaluated and compared with other algorithms using the CASCH tool with real applications running on an Intel Paragon. The PFAST algorithm is also evaluated with randomly generated DAGs for which optimal schedules are known. The algorithm generated optimal solutions for a majority of the test cases and close-to-optimal solutions for the others. The proposed algorithm is the fastest scheduling algorithm known to us and is an attractive choice for scheduling under running time constraints.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.95,Applied computing:0.1,Social and professional topics:0.1",Computing methodologies,Computing methodologies is highly relevant as the paper presents a parallel scheduling algorithm for multiprocessors with theoretical and experimental validation. Categories like Software or Networks are less aligned with the algorithmic contribution.,"Parallel computing methodologies:0.95,Modeling and simulation:0.8,Concurrent computing methodologies:0.3,Distributed computing methodologies:0.3,Machine learning:0.1,Artificial intelligence:0.1,Computer graphics:0.1,Symbolic and algebraic manipulation:0.1","Parallel computing methodologies,Modeling and simulation",Parallel computing methodologies is highly relevant for the PFAST algorithm. Modeling and simulation is relevant for the evaluation using real applications and generated DAGs. Other categories like Concurrent computing methodologies are less relevant as the focus is on scheduling rather than concurrency.,"Parallel algorithms:1,Simulation evaluation:0.9,Model development and analysis:0.7,Simulation types and techniques:0.4,Parallel programming languages:0.1","Parallel algorithms,Simulation evaluation",Parallel algorithms is relevant as the core contribution is a parallel scheduling algorithm. Simulation evaluation is relevant for the tool-based testing. Other categories like programming languages were rejected as the focus is on algorithm design.
925,Simple spatial processing for color mappings,"Color is commonly treated as an autonomous entity and all color processing and color mapping is predominantly done as a point operation, linking one color or color description to another. This point-wise approach clearly does not capture the spatial dependencies of color that we humans experience. However, spatial models are rather computationally extensive, leading to a continuous predominance of point-wise color processing methods. This paper examines what advantages can be gained from a most simplistic spatial approach.","General and reference:0.0,Hardware:0.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:1.0,Applied computing:0.0,Social and professional topics:0.0",Computing methodologies,Computing methodologies is directly relevant as the paper introduces a new color processing technique. Other categories are irrelevant as the focus is on computational methods.,"Artificial intelligence:0.0,Computer graphics:1.0,Concurrent computing methodologies:0.0,Distributed computing methodologies:0.0,Machine learning:0.0,Modeling and simulation:0.75,Parallel computing methodologies:0.0,Symbolic and algebraic manipulation:0.0","Computer graphics,Modeling and simulation",Computer graphics: The paper discusses color processing in visual systems. Modeling and simulation: Spatial models are evaluated. Other categories like AI are irrelevant as the focus is on graphics rendering.,"Animation:0,Graphics systems and interfaces:0,Image compression:0,Image manipulation:1,Model development and analysis:0.5,Rendering:0.5,Shape modeling:0,Simulation evaluation:0,Simulation support systems:0,Simulation theory:0,Simulation types and techniques:0",Image manipulation,Image manipulation is relevant for spatial color processing. Other categories like Rendering are not the focus of the paper.
4698,A Multiresolution Approach Based on MRF and Bak-Sneppen Models for Image Segmentation,"The two major Markov Random Fields (MRF) based algorithms for image segmentation are the Simulated Annealing (SA) and Iterated Conditional Modes (ICM). In practice, compared to the SA, the ICM provides reasonable segmentation and shows robust behavior in most of the cases. However, the ICM strongly depends on the initialization phase. 
 
In this paper, we combine Bak-Sneppen model and Markov Random Fields to define a new image segmentation approach. We introduce a multiresolution technique in order to speed up the segmentation process and to improve the restoration process. Image pixels are viewed as lattice species of Bak-Sneppen model. The a-posteriori probability corresponds to a local fitness. At each cycle, some objectionable species are chosen for a random change in their fitness values. Furthermore, the change in the fitness of each species engenders fitness changes for its neighboring species. After a certain number of iteration, the system converges to a Maximum A Posteriori estimate. In this multireolution approach, we use a wavelet transform to reduce the size of the system.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.2,Networks:0.1,Software and its engineering:0.2,Theory of computation:0.3,Mathematics of computing:0.4,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.95,Applied computing:0.5,Social and professional topics:0.1",Computing methodologies,Computing methodologies (0.95): The paper presents a novel image segmentation algorithm combining MRF and Bak-Sneppen models with multiresolution techniques. Other categories like Mathematics of computing (0.4) or Theory of computation (0.3) are less relevant as the focus is on the application of models rather than mathematical theory or computational complexity.,"Artificial intelligence:0.8,Computer graphics:0.9,Concurrent computing methodologies:0.1,Distributed computing methodologies:0.1,Machine learning:0.6,Modeling and simulation:0.5,Parallel computing methodologies:0.1,Symbolic and algebraic manipulation:0.1","Computer graphics,Artificial intelligence",Computer graphics is highly relevant for image segmentation techniques. Artificial intelligence is relevant for computer vision applications. Modeling and simulation is secondary for the multiresolution approach.,"Animation:0.1,Computer vision:0.9,Control methods:0.1,Distributed artificial intelligence:0.1,Graphics systems and interfaces:0.2,Image compression:0.1,Image manipulation:0.6,Knowledge representation and reasoning:0.1,Natural language processing:0.1,Philosophical/theoretical foundations of artificial intelligence:0.1,Planning and scheduling:0.1,Rendering:0.1,Search methodologies:0.3,Shape modeling:0.1","Computer vision,Image manipulation",Computer vision: Paper presents a new image segmentation approach using MRF and Bak-Sneppen models. Image manipulation: Multiresolution technique using wavelet transforms is applied for segmentation optimization.
948,Rescoring effectiveness of language models using different levels of knowledge and their integration,"In this paper, we compare the efficacy of a variety of language models (LMs) for rescoring word graphs and N-best lists generated by a large vocabulary continuous speech recognizer. These LMs differ based on the level of knowledge used (word, lexical features, syntax) and the type of integration of that knowledge (tight or loose). The trigram LM incorporates word level information; our Part-of-Speech (POS) LM uses word and lexical class information in a tightly coupled way; our new SuperARV LM tightly integrates word, a richer set of lexical features than POS, and syntactic dependency information; and the Parser LM integrates some limited word information, POS, and syntactic information. We also investigate LMs created using a linear interpolation of LM pairs. When comparing each LM on the task of rescoring word graphs or N-best lists for the Wall Street Journal (WSJ) 5k- and 20k- vocabulary test sets, the SuperARV LM always achieves the greatest reduction in word error rate (WER) and the greatest increase in sentence accuracy (SAC). On the 5k test sets, the SuperARV LM obtains more than a 10% relative reduction in WER compared to the trigram LM, and on the 20k test set more than 2%. Additionally, the SuperARV LM performs comparably to or better than the interpolated LMs. Hence, we conclude that the tight coupling of knowledge from all three levels is an effective method of constructing high quality LMs.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.9,Applied computing:0.3,Social and professional topics:0.1",Computing methodologies,"Computing methodologies is relevant as the paper compares language model architectures for speech recognition, a machine learning methodology. Applied computing is less relevant as the focus is on model evaluation rather than real-world application.","Artificial intelligence:0.7,Computer graphics:0.1,Concurrent computing methodologies:0.1,Distributed computing methodologies:0.1,Machine learning:0.9,Modeling and simulation:0.3,Parallel computing methodologies:0.1,Symbolic and algebraic manipulation:0.1","Machine learning,Artificial intelligence",Machine learning is central to the development and comparison of language models. Artificial intelligence is relevant as these models are part of NLP within AI. Modeling and simulation is secondary to the core ML/AI focus.,"Natural language processing:1.0,Machine learning algorithms:0.8,Machine learning approaches:0.6,Knowledge representation and reasoning:0.4,Others:0.2","Natural language processing,Machine learning algorithms",Natural language processing is highly relevant for language model rescoring. Machine learning algorithms are relevant for model design. Other categories like knowledge representation are less central.
3735,An efficient java implementation of a GA-based miner for relational association rules with numerical attributes,"QuantMiner, proposed by Salleb-Aouissi et al., is one of the well-known systems for mining quantitative association rules using a genetic algorithm (GA). We have applied the GA-based methods of QuantMiner to multi-relational data mining (MRDM), where mining rules involves multiple relations from a relational database, and our preliminary experiments showed that a straightforward application of QuantMiner to MRDM has an efficiency problem. In this paper, we propose RelQM-J, a Java implementation of QuantMiner applied to multi-relational databases (MRDBs), with an aim to handle the computation of the supports of rules in an efficient way, by using a hash-based data structure. Our experimental results show the effectiveness of the proposed method, compared with the conventional method used in QuantMiner.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.8,Applied computing:0.1,Social and professional topics:0.1",Computing methodologies,"Computing methodologies is highly relevant because the paper proposes a GA-based relational association rule miner with efficiency improvements, a data mining methodology. Software and its engineering is less relevant as the focus is on the algorithm, not software design.","Artificial intelligence:0.8,Computer graphics:0.1,Concurrent computing methodologies:0.4,Distributed computing methodologies:0.5,Machine learning:1.0,Modeling and simulation:0.6,Parallel computing methodologies:0.3,Symbolic and algebraic manipulation:0.2",Machine learning,Machine learning (1.0) is directly relevant for the GA-based association rule mining. Artificial intelligence (0.8) has secondary relevance as genetic algorithms are an AI technique. Other categories like Distributed computing methodologies (0.5) are not strongly supported by the paper's content.,"Cross-validation:0.1,Learning paradigms:0.2,Learning settings:0.1,Machine learning algorithms:0.9,Machine learning approaches:0.8","Machine learning algorithms,Machine learning approaches",Machine learning algorithms is relevant as the paper proposes a hash-based optimization for genetic algorithms in association rule mining. Machine learning approaches is relevant because the study applies GA-based methods to multi-relational data mining. Other categories like 'Learning paradigms' are not the primary focus.
5645,Euclidean Reconstruction of Deformable Structure Using a Perspective Camera with Varying Intrinsic Parameters,"In this paper we present a novel approach for the 3D Euclidean reconstruction of deformable objects observed by a perspective camera with variable intrinsic parameters. We formulate the non-rigid shape and motion estimation problem as a non-linear optimization where the objective function to be minimised is the image reprojection error. Our approach is based on the observation that often some of the points on the observed object behave rigidly, while others deform from frame to frame. We propose to use the set of rigid points to obtain an initial estimate of the camera's varying internal parameters and the overall rigid motion. The prior information that some of the points in the object are rigid can also be added to the non-linear minimization scheme in order to avoid ambiguous configurations. Results on synthetic and real data prove the performance of our algorithm even when using a minimal set of rigid points and when varying the intrinsic camera parameters","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.9,Applied computing:0.3,Social and professional topics:0.1",Computing methodologies,Computing methodologies: The paper presents a novel 3D reconstruction algorithm with variable camera parameters. Applied computing has limited relevance compared to the core algorithmic contribution.,"Artificial intelligence:0.1,Computer graphics:0.95,Concurrent computing methodologies:0.05,Distributed computing methodologies:0.05,Machine learning:0.1,Modeling and simulation:0.75,Parallel computing methodologies:0.05,Symbolic and algebraic manipulation:0.05","Computer graphics,Modeling and simulation",Computer graphics: 3D reconstruction of deformable structures is central to computer graphics. Modeling and simulation: The paper involves simulation of object deformation and camera parameters. Other categories like AI are not directly relevant.,"Animation:0.1,Graphics systems and interfaces:0.1,Image compression:0.1,Image manipulation:0.3,Model development and analysis:1,Rendering:0.2,Shape modeling:0.8,Simulation evaluation:0.6,Simulation support systems:0.1,Simulation theory:0.4,Simulation types and techniques:0.3","Model development and analysis,Shape modeling",Model development and analysis: The paper presents a novel non-linear optimization model for 3D reconstruction. Shape modeling: The focus is on deformable object modeling. Simulation evaluation is secondary as the paper validates the algorithm rather than simulation systems.
2578,Cross-domain sentiment classification using a two-stage method,"In this paper, we give out a two-stage approach for domain adaptation problem in sentiment classification. In the first stage, based on our observation that customers often use different words to comment on the similar topics in the different domains, we regard these common topics as the bridge to link the different domain-specific features. We propose a novel topic model named Transfer-PLSA to extract the topic knowledge between different domains. Through these common topics, the features in the source domain are corresponded to the target features, so that those domain-specific knowledge can be transferred across different domains. In the second step, we use the classifier trained on the labeled examples in the source domain to pick up some informative examples in the target domain. Then we retrain the classifier on these selected examples, so that the classifier is adapted for the target domain. Experimental results on sentiment classification in four different domains indicate that our method outperforms other traditional methods.","General and reference:0,Hardware:0,Computer systems organization:0,Networks:0,Software and its engineering:0,Theory of computation:0,Mathematics of computing:0,Information systems:0,Security and privacy:0,Human-centered computing:0,Computing methodologies:1,Applied computing:0,Social and professional topics:0",Computing methodologies,Computing methodologies is relevant for the novel topic model (Transfer-PLSA) and domain adaptation techniques. Other categories are unrelated to the core focus on machine learning algorithms for sentiment classification.,"Artificial intelligence:0.7,Computer graphics:0.0,Concurrent computing methodologies:0.0,Distributed computing methodologies:0.0,Machine learning:0.9,Modeling and simulation:0.8,Parallel computing methodologies:0.0,Symbolic and algebraic manipulation:0.0","Machine learning,Modeling and simulation,Artificial intelligence",Machine learning: The paper uses domain adaptation via neural networks. Modeling and simulation: Simulations validate the two-stage method. Artificial intelligence: The approach is rooted in AI techniques. Categories like 'Computer graphics' or 'Parallel computing' are irrelevant.,"Computer vision:0,Control methods:0,Cross-validation:0,Distributed artificial intelligence:0,Knowledge representation and reasoning:0,Learning paradigms:0,Learning settings:0,Machine learning algorithms:1,Machine learning approaches:0,Model development and analysis:0,Natural language processing:1,Philosophical/theoretical foundations of artificial intelligence:0,Planning and scheduling:0,Search methodologies:0,Simulation evaluation:0,Simulation support systems:0,Simulation theory:0,Simulation types and techniques:0","Machine learning algorithms,Natural language processing",Machine learning algorithms: The paper presents a two-stage machine learning approach for domain adaptation. Natural language processing: Sentiment classification is a core NLP task. Other categories like Computer vision are not relevant as the focus is on text-based sentiment analysis.
1623,Automatic Generation of Heuristics for Scheduling,"This paper presents a technique, called GENH, that automatically generates search heuristics for scheduling problems. The impetus for developing this technique is the growing consensus that heuristics encode advice that is, at best, useful in solving most, or typical, problem instances, and, at worst, useful in solving only a narrowly defined set of instances. In either case, heuristic problem solvers, to be broadly applicable, should have a means of automatically adjusting to the idiosyncrasies of each problem instance. GENH generates a search heuristic for a given problem instance by hillclimbing in the space of possible multiattribute heuristics, where the evaluation of a candidate heuristic is based on the quality of the solution found under its guidance. We present empirical results obtained by applying GENH to the real world problem of telescope observation scheduling. These results demonstrate that GENH is a simple and effective way of improving the performance of an heuristic scheduler.","General and reference:0,Hardware:0,Computer systems organization:0,Networks:0,Software and its engineering:0,Theory of computation:0,Mathematics of computing:0,Information systems:0,Security and privacy:0,Human-centered computing:0,Computing methodologies:1,Applied computing:0.8,Social and professional topics:0",Computing methodologies,Computing methodologies: The paper introduces a methodology for generating heuristics for scheduling. Applied computing: The paper applies the methodology to telescope observation scheduling.,"Artificial intelligence:0.8,Computer graphics:0.1,Concurrent computing methodologies:0.2,Distributed computing methodologies:0.2,Machine learning:0.9,Modeling and simulation:0.4,Parallel computing methodologies:0.2,Symbolic and algebraic manipulation:0.1","Machine learning,Artificial intelligence",Machine learning is highly relevant as the paper introduces a hill-climbing-based algorithm for heuristic generation. Artificial intelligence is relevant due to the application in scheduling problems. Other categories like Modeling and simulation are secondary to the core contribution.,"Computer vision:0.0,Control methods:0.0,Cross-validation:0.0,Distributed artificial intelligence:0.0,Knowledge representation and reasoning:0.0,Learning paradigms:0.0,Learning settings:0.0,Machine learning algorithms:0.0,Machine learning approaches:0.0,Natural language processing:0.0,Philosophical/theoretical foundations of artificial intelligence:0.0,Planning and scheduling:1.0,Search methodologies:0.75","Planning and scheduling,Search methodologies",Planning and scheduling (1.0): The core contribution is a scheduling heuristic generation system. Search methodologies (0.75): The hillclimbing approach for heuristic optimization is a search method. Other categories are irrelevant as the paper does not address machine learning or NLP.
5732,High precision rotation angle estimation for rotated images,"The detection of image rotation and the estimation of rotation angle are of great help to “copy-paste” image forgery detection because the copy-pasted slice is often rotated to gain better visual effect. This paper proposes a novel blind image rotation detection algorithm with high precision rotation angle estimation. The proposed algorithm is based on the periodicity within pixel variances, which is introduced by the rotation interpolation. Experiment results show that this algorithm can estimate rotation angle precisely with a fine rotation angle resolution of 0.2 degrees for images of 1024 pixels in width.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.3,Theory of computation:0.2,Mathematics of computing:0.5,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:1.0,Applied computing:0.2,Social and professional topics:0.1",Computing methodologies,Computing methodologies is highly relevant for the image rotation detection algorithm. Mathematics of computing is secondary to the methodological focus. Networks and Applied computing are not central to the core contribution.,"Artificial intelligence:0.1,Computer graphics:0.8,Concurrent computing methodologies:0.1,Distributed computing methodologies:0.1,Machine learning:0.2,Modeling and simulation:0.3,Parallel computing methodologies:0.1,Symbolic and algebraic manipulation:0.1",Computer graphics,"Computer graphics: The paper proposes an image rotation detection algorithm based on pixel variance analysis, which is a core image processing task in computer graphics. Other categories like 'Machine learning' are less relevant as the method is deterministic and does not involve learning.","Animation:0,Graphics systems and interfaces:0,Image compression:0,Image manipulation:1,Rendering:0,Shape modeling:0",Image manipulation,Image manipulation is relevant as the paper presents a technique for detecting rotated images through pixel variance analysis. Other categories like Shape modeling are unrelated to rotation detection algorithms.
